	smiles	cid
61	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1	5361919
62	CCCC(CCC)C(=O)O	3121
63	CCC1(C)CC(=O)NC1=O	3291
64	OCC(S)CS	3080
65	NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O	8378
66	CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	2140
67	Nc1[nH]c(=O)ncc1F	3366
68	CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	60838
69	CN(C)C(=N)N=C(N)N	4091
70	C[N+](C)(C)C[C@H](O)CC(=O)[O-]	10917
71	NC1CC1c1ccccc1	5530
72	CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O	19649
73	C[C@H](N)Cc1ccccc1	5826
74	COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12	5717
75	NNCCc1ccccc1	3675
76	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1	441289
77	O=C(O)c1ccccc1O	338
78	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	10531
79	CC(=O)N[C@@H](CS)C(=O)O	12035
80	CN[C@@H](C)[C@H](O)c1ccccc1	9294
81	Cn1cnc2c1c(=O)[nH]c(=O)n2C	5429
82	C1COC(NC(C2CC2)C2CC2)=N1	68712
83	Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1	60825
84	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	5780
85	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	4212
86	CN(C)N/N=C1\N=CN=C1C(N)=O	2942
87	Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12	21319
88	O=C(O)[C@H](S)[C@H](S)C(=O)O	2724354
89	Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12	6098
90	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21	5484727
91	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1	5281004
92	Nc1ccc(C(=O)NCC(=O)O)cc1	2148
93	Cn1c(=O)c2c(ncn2C)n(C)c1=O	2519
94	FC(F)(F)C(Cl)Br	3562
95	C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	259331
96	O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1	3151
97	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	2520
98	Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	5318
99	CN[C@@H](C)[C@@H](O)c1ccccc1	7028
100	O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1	4887
101	CNC[C@H](O)c1cccc(O)c1	6041
102	CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1	3467
103	CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O	441306
104	O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2	3396
105	CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12	54675779
106	Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O	135403648
107	CCOc1ccc(NC(C)=O)cc1	4754
108	NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O	36294
109	CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C	441397
110	CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12	54680690
111	CC(=O)Oc1ccccc1C(=O)O	2244
112	Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1	35330
113	CCCc1cc(=O)[nH]c(=S)[nH]1	657298
114	CC(=O)OCC[N+](C)(C)C	187
115	CC(c1cc2ccccc2s1)N(O)C(N)=O	60490
116	NC(N)=NC(=O)c1nc(Cl)c(N)nc1N	16231
117	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	5732
118	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1	2082
119	CN1CCN2c3ncccc3Cc3ccccc3C2C1	4205
120	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1	1130
121	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	2249
122	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	3365
123	Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O	35370
124	OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O	444020
125	COCCc1ccc(OCC(O)CNC(C)C)cc1	4171
126	CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1	3343
127	CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21	3000322
128	CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1	39941
129	CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1	36811
130	C[C@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1	11779629
131	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21	2789
132	CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O	54678486
133	CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1	5282379
134	CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O	4781
135	CNCCC=C1c2ccccc2CCc2ccccc21	4543
136	CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O	3324
137	Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1	3878
138	O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O	3958
139	Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1	5509
140	CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1	16960
141	NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O	165580
142	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	2726
143	CC(C)NCC(O)COc1cccc2ccccc12	4946
144	O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1	31315
145	COc1cc(NC(C)CCCN)c2ncccc2c1	4908
146	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	5994
147	CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21	3380
148	O=P1(N(CCCl)CCCl)NCCCO1	2907
149	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1	60750
150	OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2	2381
151	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1	3386
152	COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1	60606
153	CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1	2712
154	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	6230
155	CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2	3623
156	Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12	2265
157	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	6013
158	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1	5656
159	Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1	5282443
160	O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O	4616
161	Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1	20279
162	CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C	441278
163	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5	5288826
164	CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C	4260
165	Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	657237
166	OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21	4020
167	O=C(O)COc1nn(Cc2ccccc2)c2ccccc12	2313
168	CN(C)CC/C=C1/c2ccccc2COc2ccccc21	667468
169	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	2474
170	COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314	5284371
171	CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21	25215
172	CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2	174174
173	CN(C)CCN(Cc1cccs1)c1ccccn1	4098
174	CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1	5505
175	CN(C)CCOC(C)(c1ccccc1)c1ccccn1	3162
176	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	5991
177	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1	5358
178	COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1	59768
179	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	5253
180	COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1	4030
181	CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1	2187
182	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O	4595
183	CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1	2717
184	CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1	37464
185	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	727
186	C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O	9904
187	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	5578
188	CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O	2763
189	c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2	4066
190	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	3034034
191	C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	441074
192	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	2733526
193	O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1	5042
194	CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2	5452
195	CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	2159
196	Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1	3883
197	CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O	26248
198	O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1	74989
199	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O	33613
200	NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1	638678
201	CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O	39042
202	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	4583
203	CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1	3339
204	NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1	37542
205	COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1	33176
206	CCOC(=O)c1cncn1[C@H](C)c1ccccc1	667484
207	CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21	5284592
208	O=P(O)(O)C(Cl)(Cl)P(=O)(O)O	25419
209	O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12	3474
210	C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1	5311017
211	O=P(O)(O)OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	214356
212	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1	60753
213	COC(=O)C(c1ccccc1)C1CCCCN1	4158
214	O=NN(CCCl)C(=O)NC1CCCCC1	3950
215	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12	441130
216	Nc1nc2ccc(OC(F)(F)F)cc2s1	5070
217	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1	5361848
218	CCN(CC)CCNC(=O)c1ccc(N)cc1	4913
219	O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	6883
220	NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O	5560
221	COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12	6087
222	CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1	2663
223	CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O	20824
224	CC(=O)N=c1sc(S(N)(=O)=O)nn1C	4100
225	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	5388962
226	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	444
227	CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12	3634
228	CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1	1548887
229	O=C(CCBr)N1CCN(C(=O)CCBr)CC1	4842
230	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O	5904
231	O=C(O)c1cc(-c2ccccc2)nc2ccccc12	8593
232	C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O	5281034
233	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl	3440
234	Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	5215
235	O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1	6194
236	COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2	72287
237	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1	3964
238	Oc1ccc2c(c1)[C@]13CCCC[C@@]1(O)[C@H](C2)N(CC1CCC1)CC3	6916249
239	C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5	5284596
240	COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC	5282230
241	CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1	135398737
242	Nc1ccc(S(=O)(=O)Nc2nccs2)cc1	5340
243	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	2405
244	C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1	443884
245	CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21	13314
246	Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1	54677972
247	CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1	3345
248	CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1	5354
249	Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O	2406
250	CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1	8944
251	CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O	6869
252	CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C	4826
253	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O	6249
254	CS(=O)(=O)OCCCCOS(C)(=O)=O	2478
255	CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1	5749
256	CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21	3393
257	CCOC(=O)C1(c2ccccc2)CCN(C)CC1	4058
258	CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	4932
259	O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5	5360515
260	C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1	4057
261	CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C	10100
262	COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC	4680
263	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	4993
264	NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl	2732
265	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C	36314
266	NC(=O)NO	3657
267	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	5920
268	CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1	2391
269	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	4507
270	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	3715
271	CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1	4634
272	COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F	53359
273	CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C	3312
274	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I	5905
275	CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1	6540428
276	CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O	54676537
277	O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O	56339
278	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O	441140
279	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1	38103
